request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_134,3610868.14,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.66,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,reduce_to:event_12413:11.50,"Reduce the streaming expense (event_12413) to USD 11.50, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,468.92,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Pay USD 560.40 in full on 15 June 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_137,2271.31,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100 request. Although INR 2,271.31 is available today, the full amount cannot be completed safely within 90 days."
request_138,698.72,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2,300 available."
request_139,1260.26,affordable_later,wait,2024-11-15:2316,2024-11-15,none,"Pay USD 2,316 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,500 minimum."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,10055.22,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 10,055.22 is available today, the full amount cannot be completed safely within 90 days."
request_142,331.43,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,263.60 request. Although USD 331.43 is available today, the full amount cannot be completed safely within 90 days."
request_143,1975.68,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 12,584 request. Although ZAR 1,975.68 is available today, the full amount cannot be completed safely within 90 days."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. None of the available options keeps the USD 600 minimum protected.
request_145,18362.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,400 request. Although INR 18,362.37 is available today, the full amount cannot be completed safely within 90 days."
request_146,11344.63,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 11,344.63 is available today, the full amount cannot be completed safely within 90 days."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7556.68,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.40,"Reduce the entertainment expense (event_13594) to ZAR 576.40, then use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,22499.19,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,reduce_to:event_13703:1013.76,"Reduce the shopping expense (event_13703) to ZAR 1,013.76, then use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 September 2024. None of the available options keeps the IDR 31,633,600 minimum protected."
request_152,11303.85,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-03-15,reduce_to:event_14024:234.30,"Reduce the dining expense (event_14024) to ZAR 234.30, then use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,31822.27,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 112,500 request. Although INR 31,822.27 is available today, the full amount cannot be completed safely within 90 days."
request_156,8048.72,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4100219.28,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,503,000 request. Although IDR 4,100,219.28 is available today, the full amount cannot be completed safely within 90 days."
request_158,166754.81,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 242,600 request. Although INR 166,754.81 is available today, the full amount cannot be completed safely within 90 days."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,200 minimum protected."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1966137.01,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,966,137.01 is available today, the full amount cannot be completed safely within 90 days."
request_163,7657357.67,affordable_later,wait,2024-11-15:19304000,2024-11-15,none,"Pay IDR 19,304,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 26,728,700 minimum."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,51515.90,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,600 request. Although INR 51,515.90 is available today, the full amount cannot be completed safely within 90 days."
request_166,2497.35,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,,reduce_to:event_15208:29.50|reduce_to:event_15209:45.20|reduce_to:event_15245:47,"Reduce the streaming expense (event_15208) to USD 29.50 and Reduce the shopping expense (event_15209) to USD 45.20 and Reduce the dining expense (event_15245) to USD 47, then use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 31 May 2025. None of the available options keeps the ZAR 31,200 minimum protected."
request_168,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,28333292.36,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-10-15,stop:event_15604|stop:event_15605|reduce_to:event_15670:779950,"Stop the music subscription expense (event_15604) and Stop the delivery membership expense (event_15605) and Reduce the dining expense (event_15670) to IDR 779,950, then use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,10.21,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 10.21 is available today, the full amount cannot be completed safely within 90 days."
request_172,8116.27,affordable_with_plan,partial_payment,2024-06-05:8116.27|2024-07-15:2083.73,2024-07-15,none,"Pay ZAR 8,116.27 today and the remaining ZAR 2,083.73 on 15 July 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,51175.29,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15946:2105,"Reduce the dining expense (event_15946) to INR 2,105, then use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,928.12,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,146.20 request. Although EUR 928.12 is available today, the full amount cannot be completed safely within 90 days."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2026. None of the available options keeps the USD 1,300 minimum protected."
request_178,2141.28,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,938.10 request. Although EUR 2,141.28 is available today, the full amount cannot be completed safely within 90 days."
request_179,7731414.98,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 September 2026. None of the available options keeps the INR 37,300 minimum protected."
request_181,113.66,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 113.66 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22217444.40,affordable_later,wait,2026-06-15:26866000,2026-06-15,none,"Pay IDR 26,866,000 in full on 15 June 2026. Paying earlier would take the balance below the IDR 11,878,300 minimum."
request_184,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,275.56,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 128,300 minimum protected."
request_188,65.65,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 65.65 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,571.02,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,0,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,,reduce_to:event_17837:34.50,"Reduce the dining expense (event_17837) to EUR 34.50, then use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 October 2025. None of the available options keeps the INR 113,600 minimum protected."
request_195,0,not_affordable,not_recommended,none,,none,Do not make this payment by 11 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_196,338.86,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 762.30 request. Although EUR 338.86 is available today, the full amount cannot be completed safely within 90 days."
request_197,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,13826379.03,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,674,000 request. Although IDR 13,826,379.03 is available today, the full amount cannot be completed safely within 90 days."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1.32,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,442.10 request. Although EUR 1.32 is available today, the full amount cannot be completed safely within 90 days."
request_204,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 31 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,3800.94,affordable_later,wait,2026-08-15:11830,2026-08-15,none,"Pay ZAR 11,830 in full on 15 August 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,2652355.92,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1094.82,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,094.82 is available today, the full amount cannot be completed safely within 90 days."
request_210,768.82,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"use 3 installments of USD 471.48, starting 6 April 2026. This leaves at least USD 2,000 available."
request_211,229.65,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,1513.57,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,362.40 request. Although USD 1,513.57 is available today, the full amount cannot be completed safely within 90 days."
request_214,26480.87,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2025-02-15,reduce_to:event_19751:4395,"Reduce the dining expense (event_19751) to INR 4,395, then use 2 installments of INR 36,270, starting 4 December 2024. This leaves at least INR 174,900 available."
request_215,19752.07,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 29,986 request. Although ZAR 19,752.07 is available today, the full amount cannot be completed safely within 90 days."
request_216,516.26,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,18554.90,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,reduce_to:event_19977:367.40|reduce_to:event_19979:561.44,"Reduce the streaming expense (event_19977) to ZAR 367.40 and Reduce the shopping expense (event_19979) to ZAR 561.44, then use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,23678664.28,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 June 2026. None of the available options keeps the EUR 1,100 minimum protected."
request_220,31.31,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 31.31 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,26976.47,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 34,078 request. Although ZAR 26,976.47 is available today, the full amount cannot be completed safely within 90 days."
request_223,173.36,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 898.70 request. Although EUR 173.36 is available today, the full amount cannot be completed safely within 90 days."
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"use 2 installments of IDR 5,370,040, starting 4 February 2025. This leaves at least IDR 22,187,600 available."
request_225,9894198.27,affordable_later,wait,2026-09-15:22059000,2026-09-15,none,"Pay IDR 22,059,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 17,670,700 minimum."
request_226,140242.43,affordable_with_plan,full_payment,2024-12-03:157000,2025-02-15,reduce_to:event_20754:3552,"Reduce the shopping expense (event_20754) to INR 3,552, then pay INR 157,000 today. This leaves at least INR 209,400 available."
request_227,5767.24,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 5,767.24 is available today, the full amount cannot be completed safely within 90 days."
request_228,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,450.20,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,28455.67,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-15,reduce_to:event_21305:845.90,"Reduce the dining expense (event_21305) to ZAR 845.90, then use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,153.61,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5075211.87,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,075,211.87 is available today, the full amount cannot be completed safely within 90 days."
request_237,18845660.71,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 23,826,000 request. Although IDR 18,845,660.71 is available today, the full amount cannot be completed safely within 90 days."
request_238,454.21,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 663.60 request. Although USD 454.21 is available today, the full amount cannot be completed safely within 90 days."
request_239,0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 May 2025. None of the available options keeps the USD 600 minimum protected.
request_240,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,20228793.18,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,,reduce_to:event_22186:501600,"Reduce the dining expense (event_22186) to IDR 501,600, then use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 July 2024. None of the available options keeps the ZAR 45,900 minimum protected."
request_245,18671.27,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 128,500 request. Although INR 18,671.27 is available today, the full amount cannot be completed safely within 90 days."
request_246,61704.53,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,,reduce_to:event_22613:609.40|reduce_to:event_22614:926.64,"Reduce the streaming expense (event_22613) to ZAR 609.40 and Reduce the shopping expense (event_22614) to ZAR 926.64, then use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1035.31,affordable_with_plan,full_payment,2024-09-05:1059.30,2024-09-15,reduce_to:event_22750:20,"Reduce the dining expense (event_22750) to EUR 20, then pay EUR 1,059.30 today. This leaves at least EUR 1,300 available."
request_248,175.07,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,965.60 request. Although USD 175.07 is available today, the full amount cannot be completed safely within 90 days."
request_249,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the USD 600 minimum protected.
request_250,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3317183.31,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1302.67,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,840.20 request. Although EUR 1,302.67 is available today, the full amount cannot be completed safely within 90 days."
request_254,571.51,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the IDR 9,813,900 minimum protected."
request_256,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 August 2024. None of the available options keeps the INR 168,600 minimum protected."
request_257,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the USD 1,600 minimum protected."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,245.44,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_260,5271661.20,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 5,271,661.20 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
